idx,cid,state,girl_dialog,switch_1,switch_2,girl_dialog_after_switch1,girl_dialog_after_switch2,sound,sound_after_switch1,sound_after_switch2,award,favorability
219,2063,3,What kind of relationship do you want with me? I've wanted to know for a long time.,I see you as a companion.,Thoughts of family come to mind when I think of you.,A companion? I... I thought we are much more than that.,"Well... there are many kinds of family members, such as siblings, lovers, etc... What kind of family should we be?",,,,,10
220,2063,1,Do you believe that the gods can really answer people's prayers and save them from trouble?,I believe so.,"No, the gods don't care about us.",I used to think prayers were simply a way for mortals to comfort ourselves. But then the gods saved me and transformed me into what I am today.,"Yes, the gods have caused many problems in the world, leaving humans to clean up behind them.",,,,,10
221,2059,5,"Hmm... It seems that among all my companions, only I have been successfully summoned into this world...",Do you have many companions?,How about summoning it again?,"Yes, I have eleven more companions, but they seem to be sealed by power from a different time and space.","It doesn't make sense for you to do this, because not all of my companions are good at fighting like me...",,,,,10
222,2059,2,"You ask me how I see the disaster brought by this end of the world? Actually, I don't care much about this...",But you responded to the summon.,You are so innocent...,"Hum...Actually, I only responded to you when there is a fight!","In fact, before I was summoned to this place, I lived a simple life, because I just need to eat up the tribute!",,,,,10
223,2059,3,Ah... Your name is really hard to remember... It takes a long time to remember it every time!,Do all bulls have such a good memory...,Just call me the commander!,"It depends on the things! If it is delicious food, I can memorize the entire recipe!",This is too alienated! I don't want to call such an unromantic name when we are dating!,,,,,10
224,2059,1,Do you know Minotaur? Do you think who has the stronger strength if I compete with her?,"Undoubtedly, you are stronger.","Uh, I don't want to answer...","Ah...Really? But if there is too much strength, will it be too lack of girly...?",Well... You seem to be questioning my power? Do you want to come to my room tonight to...compare with me?,,,,,10
225,2059,1,"You ask where my divine power comes from? As far as I know, it seems to be derived from people's beliefs?","Wow, is that true?",I think it isn't that...,Beliefs can indeed converge into divine power! Isn't it the same way that powerful gods were born?,"It is! Look at your companions, you are their belief. The power of this belief is unstoppable!",,,,,10
226,2030,3,Hmm... I actually wonder how you felt when you saw me after you first summoned an angel?,Surprise?,Panic?,"When humans try new things, they are always a bit happy and a bit fearful. In angels' view, it is actually quite interesting.","Fortunately, it was me who responded to your summon, not Michael or Lucifer, otherwise you would suffer...",,,,,10
227,2030,3,Hmm... I actually wonder how you felt when you saw me after you first summoned an angel?,Surprise?,Panic?,"When humans try new things, they are always a bit happy and a bit fearful. In angels' view, it is actually quite interesting.","Fortunately, it was me who responded to your summon, not Michael or Lucifer, otherwise you would suffer...",,,,,10
228,2061,1,"Ah...As a species of fish, life on land is very uncomfortable for me!",Is it too hot?,Is it too dry?,"Yeah, even when I walk on the beach in a swimsuit, I can feel countless hot gazes!","That's right, but I don't have the luxury of asking for a hot bath every day in this era of rampant monsters.",,,,,10
229,2061,4,"When I was able to incarnate into a human form, I was worried about whether my figure would be too fat!",Actually you have a perfect figure!,It seems a bit...,Oops... It seems that you know how to make girls happy more than I expected... Don't say this to anyone please~,"No way! Are you kidding me? ! If it is true, I will start losing weight today! Now!",,,,,10
230,2061,3,Are you interested in basking with me?,"Yes, I do!",I'm afraid I have no time...,See you soon! I know a very nice beach where we can enjoy our time!,Hum...do you have dates with other girls? It seems that I am a step late...,,,,,10
231,2061,2,"War is the most stupid thing... No matter where, as long as a war starts, all creatures will suffer.",I think so.,War is the mother of peace.,"So it is very important to end this war as soon as possible, and I will definitely do my best to help you!","Maybe our monster's mind is simple, I don't understand the connotation of what you said...",,,,,10
232,2061,1,Hmm...what do you think is the difference between gods and monsters?,I do not know either...,I think there is no difference.,"Then stop thinking if you don't know! At least I prefer to be a monster, because I never have to worry about so many troubles like a god!","Aha... I think so too, everyone is constantly tempering from the ordinary body to gain powerful strength.",,,,,10
233,2060,2,"Love is the most mysterious existence in the world. Many wars begin with it, and end with it...",You are right.,I disagree.,"Wasn't the Trojan war that the Greek gods instigated, in the eyes of mortals, also because of love?","When you have a sweetheart and are willing to fight the world for her, maybe you can understand...",,,,,10
234,2060,1,Do you like animals like cats? What do you think of the cat's character?,Arrogant?,Docile?,"Indeed, cats seem elegant and docile, but their self-esteem is not inferior to those beasts, and it is a bad thing to annoy them.",It seems that you know how to get the approval of these little cuties. It's not easy to make them docile!,,,,,10
235,2060,2,"Frankly speaking, I am not disgusted with war. It brings destruction and killing, but it also brings courage and glory.",I think so.,The war is too cruel.,"Well, people only see the dark side of war, but rarely see the nobility and holiness behind the blood and the blade.","Though death befalls all men alike, many Nordic warriors would rather sacrifice their lives honorably for their ideals than living their lives in mediocrity.",,,,,10
236,2060,2,"War may cause nature to suffer short-term pain, but it can bring brightness to new life.",This is a kind of rebirth.,But the price of war is high.,"Life and death are a kind of reincarnation, so is destiny, so is love, and so is war. Everything is impermanent.","In fact, the price of war will make people cherish the hard-earned peace even more, don't they?",,,,,10
237,2060,2,"The biggest difference between gods and humans is courage and responsibility, don't you think so?",I agree.,I think it is strength.,"Therefore, not everyone can become the ruler of the gods. After all, the responsibility that the ruler has to bear is beyond expression.","You are right. If you observe carefully, you will find that powerful people are often brave and responsible.",,,,,10
238,2060,2,Leading the Nordic heroes who died in battle to Valhalla is a mission as well as an art.,This duty is very sacred.,Am I qualified to go?,"Yes, both I and the Valkyries in Valhalla take this as their glory!","Not at the moment, at least you can't go until you die on the battlefield, but...I don't want to see this day come...",,,,,10
239,2042,1,Gifts are actually very holy things. What do you think gifts can bring to people?,Hope?,Joy?,"Yep, there is nothing more exciting than receiving a warm love when you are upset or sad.",Indeed. I have never seen a child who doesn't roll all over the floor happily after receiving a lot of candies.,,,,,10
240,2042,1,"Actually, I don't think that gods and humans should be different in terms of their identities. What do you think?",I agree.,I don't really agree.,"So, whether you are a mortal or a god, we don't have to treat each other too rigidly, right?","It doesn't make a difference to me, because when I give gifts, I won't be biased because of status!",,,,,10
241,2042,1,I actually like children very much. They always face things with simple and naive minds.,Being simple is not necessarily a good thing.,It's not bad to be naive.,"I think worries will increase when thinking more, in this doomsday world, maybe it's not bad to simply live each day well.",That's right! Children never think about whether tomorrow will be the end of the world. They always look at everything optimistically.,,,,,10
242,2042,1,"Alas...for this doomsday with wars, perhaps peace is the best gift, right?",I will end the war!,Peace is not easy...,"I can feel your determination. If you can really do it, I will give you the most precious gift in the world.","Don't be too pessimistic, peace is always born in people's hopes and expectations, even if it comes slowly...",,,,,10
243,2042,3,What kind of gift do you like to receive? Would you like me to give you a surprise at Christmas?,"Hmmm, sweet love?",Humph! A tremendous strength!,"Ahhhhh...do you mean...you want me, as a gift?","Ok, will satisfy you! As long as I go with you for battle every time, it is already the most powerful combination!",,,,,10
244,2042,5,"Actually, before the gift is given out, I don't know what things will be taken out from the gift bag either...",Mystery is not bad!,I feel a bit scared suddenly...,That's it! It is also a pleasure to enjoy the surprise before opening the gift box!,Ahhh... your expression makes me want to bully you! Guess what prank is in this box...?,,,,,10
245,2067,3,Do you like bunnies?,"Yes, I do!",Bunnies are alright…,"Do you want to help me raise them? I have kept hundreds of them in the Guanghan Palace, and I am worried that one person can't take care of all of them!",No way! I can't believe these furry little cuties don't excite you. I'm shocked!,,,,,10
246,2067,1,Do you think the world has changed a lot? So much has happened in the last few thousand years.,The change is indeed not small.,Hmm... It doesn't seem like much has changed.,I'm glad I chose to return from Guanghan Palace! I've been wanting to get involved in the action for a long time.,"Eh? Is that so? ... But then again, you are still very young. You have not seen much of the world and its history.",,,,,10
247,2067,2,"You wanted to know what I thought of war? I am a pacifist, but you seem to be... a militant?","But gods are immortal, and humans are not.",...You guessed correctly!,Huh? It isn't? Yet you fight so bravely... It causes my heart to stir.,"Although I don't like fighting with people, in my opinion, war is more interesting than practicing alone in the Guanghan Palace.",,,,,10
248,2067,3,"After a thousand years at Guanghan Palace, I sometimes miss my past life and my former companions.",Memories can be very motivating.,I rarely miss the past.,"Indeed, every time I thought about returning, my practice routine felt more invigorating.",It seems that you are more interested in what will happen in the future. I'm the same way.,,,,,10
249,2067,5,"Do you know of my past? After thousands of years on the moon, I have forgotten almost everything.",I don’t know much…,"Your story is a legend, and I know it well.",Forget about it. I am about to create a new legend as we fight to save the world!,Eh? People recorded my story in legend and still remember it after thousands of years?,,,,,10
250,2067,4,I spend my years alone in Guanghan Palace with the Jade Hare. I wish I had someone to talk to…,Do you want me to chat with you?,Is that why you're so talkative?,"May I? If it's convenient for you, would you come to my room tonight? I have so much I want to tell you...","Yes, I can be a bit long-winded, and that can be a bit off-putting. Therefore I'm trying to learn to hold my tongue and listen.",,,,,10
251,2068,5,You dare to talk to me? Do you not fear me?,You... make me a little nervous.,Haha! Not at all!,"Very courageous! Fortunately for you, I'm in a good mood today. But in the future, I'd be more cautious if I were you.","You must be a powerful person, for you speak strong words. It seems that even my menacing aura cannot dissuade you.",,,,,10
252,2068,4,The carnage of battle that I have witnessed at Shuraba is nothing to me. But love is a more gruesome battlefield. Its horrors can temper any heart.,Have you ever experienced love firsthand?,So there is something you fear..,"I have not had a lover, but I have spied on many mortals. Their tortuous emotional experiences inspire me.",Haha! Don't you dare share my weakness with others. It's a secret just for the two of us.,,,,,10
253,2068,1,"You should know that I'm a shape-shifter. If you ever upset me, I will take the shape of the monster you fear most just to scare you.","No, no... don't do it!!",Pfft! I'm not afraid.,Scared? Good! I suggest you start finding ways to keep me happy.,Sooooo pretentious! You better not cry when I break you. I couldn't stand to watch you cry.,,,,,10
254,2068,3,Beneath my terrifying appearance lurks a special soul.,Special... In an even more terrifying way?,"To me, you're terrifyingly beautiful and charming.","I love your humor. But be careful, or my monstrous soul will eat you up.",Are you always so good with words? Your witty eloquence stirs me. Maybe our future conversations should be more... intimate.,,,,,10
255,2068,1,I should cook something for you. I'm quite skilled in the culinary arts.,Umm... Will it be safe to eat?,My mouth is watering!,"Don't be so scared! You should never judge a dish--or a person--by their appearance. Give me a chance, and I will dispel the stereotypes that cloud your mind.","For being so trusting, I will make you meal like no other! First, I'll collect the essence of heaven and earth, and then I'll bake them into the most delicious dish ever made.",,,,,10
256,2068,2,"Until you came along, no one ever spoke to me. But since I met you, my heart is flooded with emotions. I feel like the luckiest goddess in the heavens.","I'm lucky to have met you, too.",I only wish we could have met sooner.,"We should mutually benefit from this relationship. From now, don't hide your troubles. I'm here for you.","The time we spent waiting to find each other was but a drop in the ocean compared to the vast expanse of time and ages of the gods. Regardless, the wait was worth it!",,,,,10
257,2065,2,"Rather than looking at the cruel reality, I am more willing to spend my daily time with myself in the mirror…",The reality is not so.,At least you're not lonely,"What you said is right... During the time we were together with you, we did experience a warmth we never had before…",Heehee...You mean you feel lonely alone? So... do you want us to accompany you tonight?,,,,,10
258,2065,2,There is another diametrically opposite self in everyone's heart. Can you feel it?,Nothing feels…,Yeh!I feel the same!,Is that so? Maybe another self in your heart hasn't been awakened yet?,What kind of person is she? Will she be your confidant? Or... will she be your enemy?,,,,,10
259,2065,2,What do you see in my mirror?,Another you?,Seems empty?,Few people can see another figure in my mirror... It seems to be the proof of the intertwined fate of you and me...,"Oh? Yeah? Compared to your lies, your expression is very honest... hee hee…",,,,,10
260,2065,3,"Do you like me in black, or white?",I like black.,I like white.,"Ara...Black represents mystery and sexy, so you like mature and attractive girls...",Hmm...White represents purity and tenderness. It seems that you like pure and cute girls!,,,,,10
261,2065,4,I am also distressed from time to time. If the me in the mirror is the real me?,Perhaps both are?,Feels like meaningless...,"I think so, but sometimes we share the same feelings, and sometimes we have different thoughts...","Maybe it really doesn't make much sense. After all, we are all real, so why separate each other?",,,,,10
262,2069,2,What do you think of war?,War brings destruction.,War brings glory.,"Yes. Although I'm in charge of war, I want peace more than anyone.","Indeed, but such glory comes at a high cost. Many lives are lost for such vanity, and I find that unacceptable.",,,,,10
263,2069,1,Which of these Greek gods do you prefer: Zeus or Hera?,Hmm...Lord Hera,I like Lord Zeus.,"She might be more attractive if she could temper her jealousy, show some humility, and act more intelligently.",Ha! You and Lord Zeus do have quite a few interests in common.,,,,,10
264,2069,5,"In war, which is more important: an army's strength or an ingenious strategy?",A strong army can overcome anything.,An ingenious strategy can turn the tide of any battle.,"That is my favorite tactic, too! A direct, full-frontal attack by a strong army can trample any enemy into the earth.",I could tell that you are a mastermind of strategy.,,,,,10
265,2069,2,Do you suspect an evil force is behind the catastrophe that we now face?,I really think so.,Hmm... It seems you're overthinking things.,"If so, our troubles are just beginning.","Still, I plan to investigate. There are just too many coincidences to be ignored. I must know the truth!",,,,,10
266,2069,3,"Even though I'm not the goddess of fate, countless people still come here eager to learn their futures.",I would like to know my future as well.,Vision determines destiny.,"Sorry, but I would get into big trouble if I told you your future.","And wisdom determines vision, doesn't it? With me by your side, you can control your own destiny.",,,,,10
267,2069,5,"If the pursuit of the perfect lover would cost you your wisdom, would you still continue the chase?",I probably would.,I don't think it would be worth it.,"Oh, really! So... tell me about this perfect woman for whom you would abandon all wisdom. Who might she be?","I'm glad to know that you value wisdom above all else, even if body instinctively continues its flirtatious pursuit.",,,,,10
268,2070,3,"Well, listen up, do you think who is stronger, Zodiac Ox or me?",I presume you are the one.,Uh... Zodiac Ox?,Humph! I know the answer because I've never lost in terms of strength.,Humph! It seems that you have no confidence in me! My punch will make you clear.,,,,,10
269,2070,2,What do you think of the wars among gods?,Fairly bland.,Incredible!,"I think so. Before I came to this world, I just thought those wars were as childish as kids' games.","Humph! Just you wait, the climax of the wars among gods is coming sooner!",,,,,10
270,2070,2,"Which one do you think is more powerful, courage or wisdom?","Courage, of course.",Maybe... wisdom?,"Yeah, brave persons will tend to be wise after experiencing the trials, but the wisdom without courage seems like a petty trick.","Right? Well, I cannot wait to punch you on the head to test that which one is powerful, courage or wisdom...",,,,,10
271,2070,5,"Anyway, are you curious about how Zodiac Ox and I were summoned into this world?",I'm not clear...,Have a guess.,"Although sometimes I still want to go back, this world is more interesting than the original land...",I prefer knowing the answer with my punch to guessing something. Watch this!,,,,,10
272,2070,1,Hey! Is there any girl you like? How about me?,I do get a crush on someone.,Yeah... you're adorable.,Aha! Right? I'm not averse to competing with others for romance.,I knew you were gonna say that! I'm really confident of my charming!,,,,,10
273,2071,4,This world is more dangerous than I thought. Are humans and gods fond of wars?,It's not that case.,But the trials of war are also a way to develop yourself.,"Well, I would like to work with you to put an end to these meaningless wars. Would you like that?","I always prefer peace, though I admit that I love bonding with you during the harrowing fights on the battlefront.",,,,,10
274,2071,5,It's said that my neighboring constellations were called away to help fight the gods' war.,I'm not clear...,I have a feeling that...,I will be very lonely without them. I would love it if you would stay and keep me company.,That's wonderful! It's important to stick with your friends through the darkest times.,,,,,10
275,2071,2,"I'm sick of war, but as a cruel twist of fate, I possess a great power than that turn the tide of battle.","Accept your fate, not bad.",The power also can end the wars.,"Maybe you're right. This war has brought us together. You are always on my mind, and no one could ever replace you.","You're right! Used properly, my power can bring salvation to the whole world.",,,,,10
276,2071,3,Well... Is there a girl you fancy?,"Of course, have a guess.",No one yet...,Why are you always staring at me? Hmm... Are your eyes hinting at something?,"Really? So tell me please, what kind of girl do you fancy?",,,,,10
277,2071,1,Divination is my specialty! Would you like for me to predict your future?,I wanna predict my love...,I wanna predict the battle progress.,"Ah, here’s the result! You’ll fall in love with someone who has horns and a fish's tail... Wait...wait a moment! That’s wrong! That’s not true.","The results say, You are your own worst enemy. ...What's that mean? Did I read it wrong?",,,,,10
278,2071,3,"If one day you must choose between losing the war or sacrificing me, what will you decide?",I do not know either...,I'm not gonna let that happen.,"When that moment comes, you won't need to make that choice. Instead, I will choose for you.","I believe in you, for you have always shown a knack for disentangling the knots of fate.",,,,,10
279,3072,5,What's Michael of this world doing? Is she still working on the dispute with Lucifer and monsters?,She always has been so.,It doesn't seem so.,"Hmm...It's usual. After all, she and Lucifer are enemies like water and fire at least in this world.","What a surprise! I thought that she was gonna stick to her principle of throwing Lucifer into the hell, like she always did before.",,,,,10
280,3072,2,I cannot still figure out if I should give up the hostile relationship between Lucifer and me. I'd better focus on maitaining the stability of the parallel universe.,I suppose it should be like that.,I don't think so.,You are right. We will face the more powerful enemy who can destroy the whole space time together.,Maybe you are right. An alliance between angels and demons is less likely than the sun rising from the west.,,,,,10
281,3072,1,I'm so glad to be one of the spokespersons belonging to the seventh domain to solve disasters in every parallel universe.,What's the parallel universe?,What's the spokesperson of the seventh domain?,Hmm...Maybe you cannot image that there is another you in the similar world asking me the same question.,"Maintaining the stability of all the parallel universes and eliminating all risk factors that will cause the space time chaos, which are the responsibility of the spokesperson.",,,,,10
282,3072,2,"Well, as I know, you have not figured out the concept of the seventh domain.",So would you like to tell me more about it?,"Nope, I have heard it from you.","In a simple word, it is the junction where all parallel universes join together and it's also the place trying to arrange heroes to solve the catastrophe.",Eh? So weird. Did I confuse you with an identical being in another parallel universe?,,,,,10
283,3072,2,Do you believe that the doomsday judgement representing justice will come at some point.,I think so.,I don't want that to happen. It seems horrible.,It seems that you have gotten ready to resist the fate and the disaster. May the light of the angels be with you.,"When the doomsday judgement comes, all you'll hear a loud bang that sounds like BOOM! And then all the monsters will vanish forever.",,,,,10
284,3072,3,"When other parallel universes get into the catastrophe, would you allow me to leave here and solve the crisis?","Yep, it's a kind of glory.",Maybe I cannot bear to part with you.,"At least, I promise that I will never forget all the time staying with you wherever I am.","If one day we are separated into two parallel universes, I will do answer your call when you come back again.",,,,,10
285,2073,3,Please look into my eyes carefully...Um...Do you feel sleepy right now?,(Sham sleep)ZZZ...,Getting more and more excited...,Eh? Did the hypnosis work?! Great! Well...tell me honestly who your favorite person is.,So weird. Is my hypnosis ineffective? No way...Wait a minute! Where are you staring at?,,,,,10
286,2073,5,"What do you think of my magic, the power of controlling dreams?",Be the weapon to knock down the enemy!,The magic will bring us happiness.,All right...the scene that your enemy is trapped in the nightmare and cannot move indeed impresses you a lot.,It’s literally a romantic answer! So...would you like to come to my room tonight? It gonna be a sweet dream.,,,,,10
287,2073,2,"Eh, it seems that besides me, another constellation embodiment also comes to this world.",You're right!,Um...I don't feel that.,Really?! I cannot wait to see them again!,Uh? Are you cheating? Tell me the truth or I’ll hypnotize you.,,,,,10
288,2073,1,"Are you good at swimming? When the disaster is over, would you like to swim together?",I like your swimsuit awfully!,I'm looking forward to competing with you!,What...what the hell are you saying! So you’re more interested in my swimsuit than swimming.,"Hump! Why are you so confident? If you are failed, you need to date me on the beach all day.",,,,,10
289,2073,2,What's your opinion about the apocalyptic conflict among gods?,I must put an end to it!,This is a hard warfare.,"Eh? I prefer to sink into the sea to fall asleep. after hundreds of years, I will awake and witness what the world is going.",Right? But I think that only hypnotizing all troublemakers will the disaster end.,,,,,10
290,2073,1,Are you fond of pets? Do you like keeping a lovely pet fish?,You're quite cute!,It needs patience and skills.,I knew you were gonna say that...Eh?! Wait! Have you always treated me as a pet?!,Don’t worry! It’s just a piece of cake to breed cute dolphins and handsome sharks with my help.,,,,,10
291,2074,3,What do you think of people who sacrifice everything for love?,How brave they are!,They're quite naive...,"As you say, if he were only mortal, I would bestow the gifts of love and strength upon him for his courage",Really? It will be interesting to see how naive you will be when you meet the right person someday.,,,,,10
292,2074,4,"From the human standpoint, love is something that they can put a price on, isn't it?",Maybe that's right...,"At least, I don't think so.","Well, it seems that another trouble needs to handle. Let me reshape people's view of love.","Well, I presume...that's why I choose to be with you in the end.",,,,,10
293,2074,1,"In love or war, it's wise to strike first. Don't you think so?",I always take the initiative.,"Actually, I get used to taking a wait-and-see approach.",Really? Would you like to come to my bedroom tonight? It's a great opportunity to show your initiative.,"Let me guess...Are you eager to hear my self-revealing words, dear?",,,,,10
294,2074,2,"At this time, it's still difficult for the world to accept the fact that god and humans would fall in love, just because the identity of god is different from that of humans.",It's definitely a pity...,I don't care about identity differences.,"Anyway, I still look forward to one day when we all throw off our identity and pursue our true love.",You are more optimistic than I thought...May you be able to change this old world and reshape the relationship between humans and God.,,,,,10
295,2074,2,"Was the kid, Cupid, faithful to her obligation before I came to this world?",She really did a great job.,She doesn't seem to do well.,I'm so surprised! I thought that she would screw up affection affairs in this world with her personality.,"Aha...It's met my expectations. If she was qualified enough, I won't be summoned to this world.",,,,,10
296,2074,1,Are you fond of artwork? How do you like sculptures?,I know nothing about the sculpture...,I'm good at sculpturing.,"I've heard that countless artists made sculptures of me, but your artwork is the one that I'm most looking forward to.","So would you like to make a piece about me? Tell me, what kind of pose do you like?",,,,,10
297,2075,2,I heard that Odin has been summoned to this world for a long time,Exactly.,"ehh,I'm not sure actually.","I guess it's time to visit her. Without me as an opponent, life would bore her to death.",emm? Lies are showing up. My insight can guide me to where she is even she's turned into ashes. Haha…,,,,,10
298,2075,1,"By the way, how's Hera, I don't think she will kill her time in this world…",She's not happy with you…,She leads a comfortable life.,Is that so? It seems that she is as jealous as she used to be. It's literally a miracle that she has not exploded the world.,"Haha, you seem to be better at going along with her than me, is that so?",,,,,10
299,2075,1,"I thought the Greek Gods will be in a state of disunity, but I didn't expect your excellent command ability.",It's not easy.,I am confident.,"I'm impressed by the man with such wisdom and charisma, which is beyond my cognition.","Right, otherwise I won't acknowledge you as the chief ruler of all Gods in Greek.",,,,,10
300,2075,3,Do you think there is an insurmountable distance between God and man after all?,I'm afraid so.,I don't think so.,"Maybe it is what it is. If there's any difference between human and God, it won't be bad for me to abandon the God identity and become a human like you.",oh? What do you think about coming over my room tonight and seeing how intimate we really are?,,,,,10
301,2075,2,"From where I stand, warfare is a recreational activity between the strong, do you think so?",War tests us.,War is a disaster for all of us.,Your answer reminds me of the wartime before I became the Supreme Deity in Greek. Challenging yet interesting.,"Then what's your plan for ending the disaster, my hero?",,,,,10
302,2075,1,How important it is to become the Supreme Deity,It's a glory worth valuing.,More of a title.,"I'm glad that you regard this glory as something important, which embodies my responsibility and dignity as a goddess.",You must have found something more cherishable then the title? Could you tell me what it is?,,,,,10
303,2076,3,"I don't want to spend that long dark night alone, so you'll be by my side, right?","Yes, I will.",This ...... I have other things to do.,I know that you would be there for me.Then you'll be granted a wonderful night!,"How dare you refuse my invitation, no one has ever turned down my invitation! I'm interested in you even more.",,,,,10
304,2076,1,Danger is always accompanied by charm! Don't you think so?,I see!,We do not see eye to eye.,Oh! What scares you?Is it the fear of being allured by my beauty?,"Then don't hesitate, come and hug me!",,,,,10
305,2076,3,Am I different from other deities?,It's not quite the same!,Nothing is different!,"Being unique is my motto! You must like me, right?",Don't you think that I'm uncomparable in appearance?,,,,,10
306,2076,1,"There's no need to be too serious. As a deity, the most important thing is to seize the day! What do you think?",I agree with you.,I think it's better to be serious about everything!,"Finally, I find someone who just has the same thoughts as me! I think we'll get along very well.","So you're a serious person, huh? Then I hope that you can be a little more relaxed when you're with me.",,,,,10
307,2076,2,"As the sister of Supreme Deity, Odin is a real trouble. She wants to control everything!",I don't like the feeling of being controlled either.,It's good to have a sister.,"I guess we're the same kind of people, we both enjoy freedom.","In that case, how about I becoming your sister?",,,,,10
308,2076,2,"The battle is a game to me, and in the end, I'll be the one who wins anyway!",You have so much confidence!,The battle still requires prudence.,That's right! I'm as confident in my strength as I am in my beauty!,"Oh! Are you worried about me? Don't worry, I can't bear to let you down.",,,,,10
309,2077,4,Sometimes the responsibilities feel heavy on me.,But it is an exceptional glory.,I want to share your burden.,"You are right. For me, nothing is more important than glory.",I appreciate your presence. Being with you really takes my edge off.,,,,,10
310,2077,2,I will never stop pursuing the greatest power.,You are already the strongest warrior!,You must keep the balance between work and rest.,To be recognized by you is the greatest glory of all.,Maybe you are right. Taking a break every now and then is a must to reach further away.,,,,,10
311,2077,2,Never will an evil giant set foot in Asgard as long as I am alive.,Let the giants tremble under my mighty power!,That will be wonderful if we can have a peaceful settlement.,"Some day, I will eliminate them altogether!","It couldn't be better if we could settle it peacefully. However, it is impossible to negotiate with those evil and irrational giants.",,,,,10
312,2077,5,"My Mjolnir brought mighty power to me, but I also fear its powerfulness sometimes.",You are the only one who can control this power.,This is a godsend blessing.,I hope I will not lose control of my power one day.,"Since I was born, I was granted missions of gods.",,,,,10
313,2077,2,It is not only because I killed so many that made me the number one warrior of Nordic Deities.,That's the best recognition you can get from your enemies.,"No! It is, in fact, the reflection of your mighty power.","I am so glad with your recognition. However, I don't want to be seen as a bloodthirsty goddess.",You are right. I would much like to build my prestige on my own power.,,,,,10
314,2077,5,I am always wondering what the key to winning a battle is? Strong body or great mind?,Power is the most important thing to have.,The key is to have a great mind.,I am confident in the strength I possess.,That's a good point! I have to be strong in both mind and body!,,,,,10
315,2078,5,Cupid and I are all famous archers. Who do you think is better?,I think you are better.,I think Cupid is better.,Looks like I have more place in your heart!,I know. You must be eager to have a dramatic romance with someone.,,,,,10
316,2078,2,Is my glows too blinding that no one dares to stare at me?,I think this kind of glow fits you well.,It is a little bit blinding.,I appreciate your compliment. I am gonna be the one who shine till the end.,Alright. I will hide my light a little in front of you!,,,,,10
317,2078,1,I have the most beautiful voice in the world. Do you want to sing with me?,Sure! It will be my pleasure.,I am not a good singer.,Come! Let's sing for our biggest craving.,It is okay. I can be your teacher and teach you how to sing.,,,,,10
318,2078,3,Which one do you prefer? The glory of the sun or the tenderness of the moon.,I prefer the glory of the sun.,I prefer the tenderness of the moon.,"Then, I will be your sun forever!","I might be glorious in front of others, but always gentle with you.",,,,,10
319,2078,1,I must stay elegant as I am the most beautiful goddess!,There is no need to do that. You are already the most beautiful and elegant goddess!,Don't be too hard on yourself.,I am glad to have your approval!,My elegance is in my bone. There is no need to emphasize it.,,,,,10
320,2078,3,I wish my arrow could possess the magic of affection so that I can find love of my own.,Your arrow is much better than that.,Don't worry. The love you wish for must be on the way.,Thanks for reminding me of that. I will continue my mission to dispel all evils in the world!,Really? You are the one for me?,,,,,10
321,2079,1,The happiest season of the year is spring! What comes to mind when you think of spring?,The recovery of everything.,It's rainy.,"Well, as you said, spring symbolizes blooming flowers, the life that comes back... and love.",Walking in the street under an umbrella with your loved one... So romantic!,,,,,10
322,2079,1,"Since you are idle, why not do something fun!",Let's dance together.,Let's fight each other.,"Sure! I am a great dancer, which part do you want to dance with me?","You seems quite confident. If I beat you, don't become a crybaby.",,,,,10
323,2079,3,"Speaking of which, what color clothes do you like?",It should be... pink.,Maybe red is better.,Pink... that's the color of the sakura! What are you suggesting...,The warm and lively red? I think I have to try my best to became brighter from now on!,,,,,10
324,2079,1,Nothing can be compare to the senery of cherry blossom rain… do you what cherry blossom symbolizes?,A sense of longing?,Hmm... Love?,"Yes, wherever they are, cherry blossoms always represent the longing thoughts of the wanderers.","Oh, beautiful love in the story... where I can find one for myself?",,,,,10
325,2079,2,"Actually, I’ve been thinking. Would it be better to take a bigger fan while dancing?",I don't think so.,The bigger one will be much prettier.,I think so too. Little fan is more flexible.,Yeah! And you can slap someone with that. So funny!,,,,,10
326,2079,3,That… will you go with me tomorrow night to enjoy the flowers?,Maybe I will come. Maybe not.,I'm sure I'll go!,"Humph! If you don't come tomorrow night, I won't talk to you anymore.",Then we have a deal! I will wear my most beautiful kimono and wait for you there.,,,,,10
327,2080,5,I haven't met any of my sisters of twelve earthly branches. I heard that some of them are quite aggressive. Will they bully me?,Hmm... maybe... *impish grin*,I barely know any of them.,What are you thinking? Your expression betrays your wicked thoughts.,It's okay. I have grown a lot stronger. They stand no chance of bullying me!,,,,,10
328,2080,2,"Being a god of the Twelve Earthly Branches is not easy. If it is your year in the zodiac, you are on duty all year round.",Well... I have to work every year too.,I think you can slack off from your work from time to time.,"humph, why don't you do my job for a day and see how hard it is?","Haha, I can't do that. If I stopped paying attention and I lost count of the days, I'd be doomed.",,,,,10
329,2080,4,You seem to have me confused with that bunny on the moon.,Ahh? You are not Xiyu?,I sure can tell the difference!,Of course not! She doesn't have such good figure.,Yeah?  I thought you human think all the rabbits are the same.,,,,,10
330,2080,1,"I want to be with you, just like this, until the end of the world.",But this is the end of the world.,(Remain silent),Then hold me a little longer...,(Rubbing) I like to stay with you.,,,,,10
